modelo,umbral,criterio,precision,recall,f1,valor_total_test,valor_por_cliente,impacto_mensual_estimado,impacto_anual_estimado,roc_auc
final_model.pkl,0.050,Máximo valor económico puro,0.1151,0.986,0.2061,36745.0,4.4626,446259.0,5355113.0,0.7982
final_model.pkl,0.204,"Operativo (recall >= 0.75, precision viable)",0.2303,0.7584,0.3577,27345.0,3.2609,326087.0,3913043.0,0.7982
