population_pct,gain
0.00012144765606023804,0.0010787486515641855
0.00024289531212047608,0.0010787486515641855
0.0003643429681807141,0.002157497303128371
0.00048579062424095217,0.003236245954692557
0.0006072382803011902,0.004314994606256742
0.0007286859363614282,0.005393743257820928
0.0008501335924216663,0.006472491909385114
0.0009715812484819043,0.007551240560949299
0.0010930289045421424,0.008629989212513484
0.0012144765606023804,0.009708737864077669
0.0013359242166626185,0.010787486515641856
0.0014573718727228565,0.011866235167206042
0.0015788195287830945,0.012944983818770227
0.0017002671848433326,0.014023732470334413
0.0018217148409035706,0.015102481121898598
0.0019431624969638087,0.016181229773462782
0.0020646101530240467,0.017259978425026967
0.0021860578090842847,0.018338727076591153
0.002307505465144523,0.019417475728155338
0.002428953121204761,0.020496224379719527
0.002550400777264999,0.020496224379719527
0.002671848433325237,0.021574973031283712
0.002793296089385475,0.022653721682847898
0.002914743745445713,0.023732470334412083
0.003036191401505951,0.02481121898597627
0.003157639057566189,0.025889967637540454
0.003279086713626427,0.02696871628910464
0.003400534369686665,0.028047464940668825
0.003521982025746903,0.028047464940668825
0.0036434296818071412,0.02912621359223301
0.0037648773378673793,0.02912621359223301
0.0038863249939276173,0.030204962243797196
0.004007772649987855,0.03128371089536138
0.004129220306048093,0.032362459546925564
0.004250667962108331,0.03344120819848975
0.0043721156181685695,0.034519956850053934
0.004493563274228807,0.03559870550161812
0.004615010930289046,0.036677454153182305
0.004736458586349283,0.037756202804746494
0.004857906242409522,0.037756202804746494
0.004979353898469759,0.037756202804746494
0.005100801554529998,0.037756202804746494
0.005222249210590235,0.038834951456310676
0.005343696866650474,0.038834951456310676
0.005465144522710711,0.039913700107874865
0.00558659217877095,0.040992448759439054
0.0057080398348311875,0.042071197411003236
0.005829487490891426,0.043149946062567425
0.005950935146951664,0.04422869471413161
0.006072382803011902,0.04422869471413161
0.00619383045907214,0.04422869471413161
0.006315278115132378,0.045307443365695796
0.006436725771192616,0.045307443365695796
0.006558173427252854,0.04638619201725998
0.006679621083313092,0.04746494066882417
0.00680106873937333,0.04854368932038835
0.006922516395433568,0.04854368932038835
0.007043964051493806,0.04962243797195254
0.007165411707554044,0.05070118662351672
0.0072868593636142825,0.05070118662351672
0.00740830701967452,0.05177993527508091
0.0075297546757347586,0.05285868392664509
0.007651202331794996,0.05393743257820928
0.007772649987855235,0.05501618122977346
0.007894097643915472,0.05609492988133765
0.00801554529997571,0.05717367853290183
0.00813699295603595,0.05825242718446602
0.008258440612096187,0.0593311758360302
0.008379888268156424,0.06040992448759439
0.008501335924216662,0.061488673139158574
0.008622783580276901,0.06256742179072276
0.008744231236337139,0.06256742179072276
0.008865678892397377,0.06364617044228695
0.008987126548457614,0.06364617044228695
0.009108574204517854,0.06472491909385113
0.009230021860578091,0.06580366774541532
0.009351469516638329,0.0668824163969795
0.009472917172698566,0.06796116504854369
0.009594364828758806,0.06903991370010787
0.009715812484819043,0.07011866235167206
0.009837260140879281,0.07011866235167206
0.009958707796939519,0.07119741100323625
0.010080155452999758,0.07227615965480043
0.010201603109059995,0.07335490830636461
0.010323050765120233,0.0744336569579288
0.01044449842118047,0.07551240560949299
0.01056594607724071,0.07659115426105717
